
# Datos nUm. 1
#     x' 	 S(x')
  -5.20500 	2.81000
  -5.20000 	2.81548
  -5.19500 	2.82222
  -5.19000 	2.82963
  -5.18500 	2.83713
  -5.18000 	2.84412
  -5.17000 	2.85000
  -5.16000 	2.85716
  -5.15000 	2.85915
  -5.14000 	2.85756
  -5.13000 	2.85398
  -5.12000 	2.85000
  -5.12167 	2.85000
  -5.11333 	2.84735
  -5.10500 	2.84534
  -5.09667 	2.84379
  -5.08833 	2.84251
  -5.08000 	2.84131
  -5.07167 	2.84000
  -5.07250 	2.84000
  -5.06500 	2.83856
  -5.05750 	2.83660
  -5.05000 	2.83384
  -5.04250 	2.83000
  -5.04333 	2.83000
  -5.03667 	2.82592
  -5.03000 	2.82339
  -5.02333 	2.82500
  -5.02333 	2.82500
  -5.01667 	2.83112
  -5.01000 	2.83309
  -5.00333 	2.82000
  -5.00875 	2.82000
  -5.00750 	2.81492
  -5.00625 	2.80851
  -5.00500 	2.80034


# Datos nUm. 2
#    x'		       y'		  x	       y
  -5.210	     2.810	        2.810	     5.210
  -5.180	     2.850	        2.850	     5.180
  -5.130	     2.850	        2.850	     5.130
  -5.080	     2.840	        2.840	     5.080
  -5.050	     2.830	        2.830	     5.050
  -5.030	     2.825	        2.825	     5.030
  -5.010	     2.820	        2.820	     5.010
  -5.005	     2.790	        2.790	     5.005
