
# Datos nUm. 1
#     x  	 S(x)
  -1.61231 	2.08000
  -1.60462 	2.07475
  -1.59692 	2.06935
  -1.58923 	2.06383
  -1.58154 	2.05822
  -1.57385 	2.05256
  -1.56615 	2.04690
  -1.55846 	2.04125
  -1.55077 	2.03567
  -1.54308 	2.03019
  -1.53538 	2.02485
  -1.52769 	2.01968
  -1.52000 	2.01472
  -1.51250 	2.01000
  -1.50500 	2.00576
  -1.49750 	2.00232
  -1.49000 	2.00022
  -1.48250 	2.00000
  -1.48250 	2.00000
  -1.47500 	2.00190
  -1.46750 	2.00501
  -1.46000 	2.00811
  -1.45250 	2.01000


# Datos nUm. 2
#    x 		       y
  -1.620	     2.080
  -1.520	     2.010
  -1.490	     2.000
  -1.460	     2.010
